employee_id,department,job_role,education_level,years_at_company,monthly_hours_worked,attendance_rate,training_hours,tasks_completed,peer_review_score,manager_rating,promotions_last_3years,salary_band,work_location,performance_score,month
E1004,IT,Associate,Bachelors,5,162.2,97.2,5.5,9,5.79,10.0,0,High,Hybrid,17.31,2024-01
E1004,Marketing,Developer,Bachelors,9,152.0,98.3,6.0,8,,6.62,0,Medium,Remote,16.45,2024-01
E1004,IT,Manager,Bachelors,4,168.0,94.2,7.2,3,4.73,5.4,2,High,Remote,11.63,2024-03
E1004,Finance,Developer,Masters,1,149.4,89.4,2.3,9,4.63,3.93,0,Medium,Hybrid,26.28,2024-03
E1004,HR,Manager,Bachelors,3,156.6,93.1,2.2,3,6.33,8.87,0,Medium,Hybrid,18.92,2024-04
E1004,Finance,Manager,Bachelors,7,152.3,91.9,10.1,12,7.72,5.79,0,Low,Onsite,13.69,2024-05
E1004,Marketing,Developer,Bachelors,1,163.3,88.7,6.8,7,7.22,2.84,0,Medium,Onsite,21.0,2024-06
E1004,Finance,Developer,Bachelors,4,161.7,90.1,,6,8.0,5.0,0,Low,Remote,22.13,2024-07
E1004,Marketing,Manager,Bachelors,2,143.7,97.8,9.0,2,8.58,7.51,0,High,Hybrid,18.5,2024-08
E1004,HR,Manager,Bachelors,9,187.6,93.9,4.4,5,9.21,6.55,1,Low,Remote,19.68,2024-09
E1004,Sales,Developer,Bachelors,7,165.4,95.7,6.0,4,7.32,7.47,1,Medium,Onsite,14.7,2024-10
E1004,IT,Developer,Bachelors,2,155.2,100.0,2.5,5,5.51,8.97,2,Medium,Remote,10.55,2024-11
E1005,Sales,Analyst,Masters,1,159.3,98.1,,11,5.5,7.86,0,High,Hybrid,15.64,2024-01
E1005,Marketing,Developer,Bachelors,5,140.5,93.6,5.7,5,,9.71,1,Low,Remote,0.07,2024-01
E1005,IT,Manager,PhD,8,155.7,93.5,5.4,5,,9.06,1,High,Hybrid,6.24,2024-03
E1005,HR,Analyst,Bachelors,10,157.8,100.0,5.5,0,7.47,6.12,1,Low,Hybrid,7.16,2024-03
E1005,Sales,Associate,PhD,7,186.0,91.7,3.6,4,5.22,3.28,1,Low,Onsite,10.46,2024-04
E1005,Marketing,Manager,Bachelors,2,140.7,89.0,2.9,8,8.52,7.33,0,Low,Hybrid,15.72,2024-05
E1005,HR,Executive,Masters,10,158.7,92.5,,7,8.26,10.0,1,Low,Hybrid,11.15,2024-06
E1005,IT,Associate,PhD,9,175.5,100.0,3.8,9,6.92,6.93,0,Low,Hybrid,23.68,2024-07
E1005,HR,Developer,PhD,5,160.4,100.0,5.3,8,8.79,4.66,1,High,Hybrid,10.69,2024-08
E1005,Marketing,Analyst,Masters,4,173.8,98.2,4.7,6,7.72,8.64,2,Low,Hybrid,6.7,2024-09
E1005,Finance,Executive,Masters,1,157.2,90.6,4.2,4,6.49,8.54,0,Medium,Onsite,15.97,2024-10
E1005,Finance,Developer,Masters,4,158.1,93.0,4.3,8,7.76,10.0,1,Low,Onsite,13.86,2024-11
E1006,Sales,Associate,PhD,10,158.9,88.9,5.2,8,9.25,7.86,1,Low,Onsite,15.29,2024-01
E1006,Marketing,Executive,PhD,4,144.7,91.5,4.9,3,7.87,4.5,1,Medium,Onsite,19.52,2024-01
E1006,Finance,Manager,Bachelors,8,155.8,92.6,8.3,5,3.78,10.0,0,Medium,Remote,21.06,2024-03
E1006,IT,Developer,PhD,9,159.6,87.8,5.3,4,6.48,6.65,0,High,Remote,9.09,2024-03
E1006,Marketing,Associate,Bachelors,6,170.2,89.5,5.7,2,8.22,6.99,0,High,Hybrid,6.72,2024-04
E1006,Finance,Manager,Bachelors,4,171.8,91.7,7.0,5,7.64,8.84,0,Medium,Onsite,16.31,2024-05
E1006,HR,Associate,Bachelors,1,162.1,99.4,8.0,12,9.79,6.56,1,Medium,Remote,9.56,2024-06
E1006,Marketing,Executive,PhD,7,157.0,100.0,1.9,5,9.08,8.01,0,Medium,Onsite,4.12,2024-07
E1006,Finance,Associate,Masters,10,146.3,92.6,2.3,10,,6.18,0,Medium,Onsite,14.35,2024-08
E1006,HR,Developer,Masters,4,143.7,92.1,6.6,7,7.77,7.65,0,Low,Onsite,12.33,2024-09
E1006,Finance,Executive,PhD,6,158.4,100.0,0.5,6,7.85,6.06,2,Medium,Onsite,15.37,2024-10
E1006,Sales,Associate,PhD,10,139.0,96.3,4.5,5,9.35,8.69,0,Medium,Hybrid,20.39,2024-11
E1007,HR,Manager,Bachelors,1,155.3,100.0,5.3,3,9.13,4.53,0,High,Onsite,16.38,2024-01
E1007,Marketing,Manager,Masters,5,161.9,90.5,3.2,3,9.92,7.14,0,High,Hybrid,14.79,2024-01
E1007,IT,Developer,Bachelors,2,164.3,84.6,3.5,5,8.26,6.79,0,Low,Remote,12.03,2024-03
E1007,Finance,Manager,Masters,10,162.0,100.0,7.2,7,9.28,6.87,1,Low,Hybrid,16.69,2024-03
E1007,IT,Manager,Masters,9,157.4,92.5,5.6,10,6.32,9.68,0,High,Remote,22.59,2024-04
E1007,Marketing,Executive,Bachelors,3,150.1,84.2,3.7,5,5.52,8.96,0,Low,Onsite,10.49,2024-05
E1007,Sales,Manager,Bachelors,6,143.7,95.9,0.2,9,6.7,4.57,0,High,Remote,10.98,2024-06
E1007,Sales,Executive,Masters,3,159.7,90.2,3.3,7,6.02,6.73,1,Low,Hybrid,12.02,2024-07
E1007,HR,Developer,Bachelors,10,154.6,97.6,6.9,5,6.51,5.0,0,Medium,Onsite,14.01,2024-08
E1007,IT,Developer,Masters,6,160.5,95.2,3.6,9,6.51,5.65,0,Medium,Onsite,15.2,2024-09
E1007,IT,Manager,PhD,1,148.6,93.7,6.0,5,6.96,4.35,0,Low,Remote,16.48,2024-10
E1007,Finance,Analyst,Bachelors,9,163.1,95.0,5.8,6,6.34,8.14,0,Medium,Remote,22.05,2024-11
E1008,Marketing,Developer,PhD,4,154.2,89.9,3.7,2,5.66,5.76,0,High,Remote,15.18,2024-01
E1008,HR,Manager,Masters,6,176.9,99.4,4.5,3,5.19,6.98,0,Low,Hybrid,13.68,2024-01
E1008,Finance,Manager,Bachelors,6,165.6,95.4,,5,6.12,9.18,1,High,Remote,16.79,2024-03
E1008,Finance,Analyst,Masters,7,149.1,93.4,7.4,5,7.71,8.42,0,High,Hybrid,18.64,2024-03
E1008,HR,Developer,PhD,1,153.2,89.1,1.9,8,5.71,3.01,0,Low,Remote,18.16,2024-04
E1008,HR,Developer,Bachelors,1,160.8,94.5,6.8,6,7.06,4.93,2,High,Hybrid,19.75,2024-05
E1008,IT,Analyst,Masters,10,157.7,96.0,9.9,5,7.05,8.02,0,Low,Hybrid,14.62,2024-06
E1008,Finance,Associate,Masters,4,150.6,94.3,2.6,5,8.4,7.3,2,High,Onsite,11.56,2024-07
E1008,Finance,Associate,Masters,3,152.9,99.3,6.1,5,6.12,8.9,1,High,Remote,16.07,2024-08
E1008,Finance,Developer,PhD,5,158.7,99.9,4.0,4,5.74,5.85,0,Medium,Hybrid,0.23,2024-09
E1008,IT,Executive,Masters,5,154.5,97.0,2.0,3,7.78,6.97,0,High,Remote,15.86,2024-10
E1008,IT,Associate,PhD,5,148.1,94.8,7.3,10,6.21,8.36,0,Medium,Remote,12.21,2024-11
E1009,Marketing,Manager,Masters,8,181.6,92.0,6.5,4,7.95,7.18,1,Medium,Onsite,21.93,2024-01
E1009,Sales,Associate,PhD,8,162.4,92.7,3.4,5,9.45,7.57,1,High,Remote,10.02,2024-01
E1009,Sales,Developer,Masters,10,166.1,100.0,2.5,5,6.75,9.91,1,High,Onsite,23.24,2024-03
E1009,Marketing,Developer,PhD,2,156.4,90.8,2.9,5,4.55,7.61,0,Low,Hybrid,16.37,2024-03
E1009,HR,Analyst,PhD,7,156.5,97.7,9.3,5,8.53,9.25,0,High,Hybrid,10.72,2024-04
E1009,Marketing,Analyst,Bachelors,2,163.2,91.6,2.6,6,7.44,7.33,1,Low,Hybrid,8.65,2024-05
E1009,Finance,Executive,Bachelors,5,158.6,88.9,4.6,7,6.22,6.73,1,Low,Onsite,13.01,2024-06
E1009,HR,Executive,Masters,6,168.3,99.0,7.3,7,8.68,7.79,0,High,Onsite,10.42,2024-07
E1009,Sales,Developer,PhD,7,171.7,92.1,5.4,6,6.25,9.05,0,High,Onsite,16.56,2024-08
E1009,Sales,Developer,Masters,3,151.8,95.0,4.7,7,6.82,6.83,0,Low,Onsite,12.95,2024-09
E1009,HR,Manager,Masters,9,161.9,97.9,8.7,7,5.88,4.18,0,Low,Onsite,8.15,2024-10
E1009,Marketing,Developer,Bachelors,1,176.9,100.0,5.9,5,7.8,1.57,1,High,Onsite,9.04,2024-11
E1010,HR,Developer,Bachelors,4,159.7,100.0,8.3,7,6.81,6.8,0,Medium,Hybrid,13.46,2024-01
E1010,Marketing,Associate,PhD,3,168.9,91.5,4.9,5,7.87,9.11,0,Medium,Remote,23.5,2024-01
E1010,Marketing,Associate,Masters,2,142.4,89.9,5.5,5,7.63,4.78,0,High,Remote,15.33,2024-03
E1010,IT,Developer,Masters,3,163.1,94.3,3.4,9,7.25,6.53,0,Medium,Onsite,19.54,2024-03
E1010,Finance,Associate,Masters,6,164.4,99.5,0.3,6,5.99,5.74,0,High,Onsite,16.25,2024-04
E1010,Finance,Developer,Bachelors,4,175.8,96.4,5.7,7,6.24,4.43,0,High,Remote,8.8,2024-05
E1010,IT,Analyst,Masters,3,163.0,91.2,4.1,9,9.22,7.14,0,Medium,Hybrid,18.21,2024-06
E1010,HR,Executive,Bachelors,4,147.7,96.1,1.9,4,9.45,9.71,1,Low,Remote,9.69,2024-07
E1010,IT,Executive,Bachelors,5,180.6,89.7,5.0,8,9.62,7.07,0,Medium,Remote,12.49,2024-08
E1010,Finance,Associate,Masters,9,155.0,97.8,5.6,8,7.39,8.47,1,Medium,Onsite,11.93,2024-09
E1010,IT,Developer,Masters,10,155.4,93.5,5.5,10,6.81,6.36,0,High,Hybrid,11.0,2024-10
E1010,HR,Associate,Masters,7,164.7,90.0,4.6,5,6.61,7.69,0,Medium,Onsite,14.05,2024-11
E1011,Finance,Analyst,Masters,9,166.3,100.0,5.8,7,7.14,5.93,1,Medium,Hybrid,13.94,2024-01
E1011,Marketing,Associate,Bachelors,10,165.4,99.4,7.0,6,10.0,3.6,1,Medium,Onsite,17.02,2024-01
E1011,Finance,Developer,Masters,5,149.5,89.7,6.9,5,10.0,7.14,0,Low,Remote,19.29,2024-03
E1011,Finance,Developer,PhD,4,159.4,87.4,5.4,2,10.0,5.96,1,Low,Remote,13.48,2024-03
E1011,IT,Associate,PhD,9,150.1,92.7,7.9,7,7.09,7.71,0,Low,Remote,14.02,2024-04
E1011,Marketing,Associate,PhD,6,158.9,94.1,4.1,2,4.19,4.19,0,Low,Onsite,11.36,2024-05
E1011,Sales,Executive,Masters,4,160.8,87.7,4.4,6,6.37,5.23,0,Low,Onsite,13.69,2024-06
E1011,Finance,Developer,Masters,7,155.6,95.3,4.4,8,7.67,9.1,1,Low,Remote,9.55,2024-07
E1011,Finance,Analyst,Masters,5,161.4,91.9,3.6,5,8.01,8.02,1,Medium,Remote,12.37,2024-08
E1011,Finance,Manager,Masters,9,168.1,96.5,5.1,3,10.0,9.66,0,Low,Hybrid,17.97,2024-09
E1011,Marketing,Manager,Masters,3,148.6,95.5,4.9,4,7.19,3.08,1,Low,Hybrid,16.2,2024-10
E1011,HR,Manager,Bachelors,9,158.3,91.8,4.4,5,9.13,10.0,1,Low,Onsite,7.04,2024-11
E1012,HR,Associate,Bachelors,7,167.9,86.3,7.6,5,5.01,6.38,0,Low,Onsite,16.34,2024-01
E1012,Sales,Manager,PhD,10,173.1,100.0,3.9,7,7.19,5.38,0,Low,Remote,16.29,2024-01
E1012,Finance,Analyst,Bachelors,8,160.3,97.1,1.5,4,5.32,4.19,0,High,Hybrid,5.22,2024-03
E1012,HR,Executive,Masters,6,171.7,96.8,4.8,7,8.17,3.4,0,Low,Hybrid,10.89,2024-03
E1012,HR,Analyst,PhD,3,160.3,88.4,2.8,7,8.62,8.42,0,High,Remote,17.5,2024-04
E1012,Sales,Executive,Bachelors,6,179.6,100.0,4.1,3,,7.53,1,High,Hybrid,22.12,2024-05
E1012,IT,Manager,PhD,5,163.3,100.0,5.3,5,6.91,6.9,0,Medium,Hybrid,22.06,2024-06
E1012,Marketing,Manager,PhD,4,150.9,91.7,3.8,11,9.56,6.61,1,Low,Remote,20.05,2024-07
E1012,Marketing,Developer,PhD,8,165.9,80.3,6.3,5,7.79,5.06,1,Medium,Onsite,5.09,2024-08
E1012,Marketing,Analyst,Bachelors,8,162.1,100.0,4.8,2,6.97,7.36,1,Medium,Remote,14.15,2024-09
E1012,HR,Developer,Masters,8,175.4,91.5,6.9,4,5.81,5.57,1,High,Remote,14.43,2024-10
E1012,IT,Developer,Bachelors,6,143.9,91.2,3.5,10,6.09,5.29,1,High,Hybrid,15.15,2024-11
E1013,Finance,Associate,PhD,7,158.6,100.0,5.4,6,9.43,5.61,0,Medium,Remote,22.14,2024-01
E1013,Sales,Associate,Masters,2,163.4,90.3,,4,7.52,8.65,0,Medium,Onsite,8.39,2024-01
E1013,HR,Analyst,Masters,9,146.5,90.9,4.0,9,8.81,9.85,0,Low,Remote,19.17,2024-03
E1013,Marketing,Associate,PhD,7,165.5,93.2,3.8,7,6.25,2.15,1,Medium,Remote,12.56,2024-03
E1013,HR,Developer,Masters,3,145.6,94.0,2.2,6,5.38,9.08,0,Low,Remote,12.75,2024-04
E1013,IT,Analyst,Masters,7,144.5,99.1,5.8,7,6.15,5.91,0,Medium,Remote,13.23,2024-05
E1013,Marketing,Analyst,PhD,10,150.7,95.5,2.8,8,8.68,8.23,0,Low,Hybrid,16.31,2024-06
E1013,IT,Manager,Bachelors,10,148.2,100.0,6.4,3,8.58,8.35,0,High,Remote,17.24,2024-07
E1013,Sales,Associate,Bachelors,6,141.1,91.4,7.5,11,6.26,6.06,1,High,Remote,12.25,2024-08
E1013,Sales,Developer,Bachelors,9,161.5,98.2,3.6,9,,8.54,1,Low,Remote,22.06,2024-09
E1013,IT,Developer,PhD,9,163.9,100.0,5.7,7,6.95,7.66,0,Low,Remote,17.71,2024-10
E1013,Marketing,Analyst,Masters,1,160.0,98.9,1.6,11,,8.91,1,High,Hybrid,14.37,2024-11
E1014,Finance,Developer,PhD,1,155.7,97.9,1.8,5,8.19,7.85,1,High,Remote,13.53,2024-01
E1014,Finance,Developer,Masters,10,178.0,94.0,6.4,5,,4.5,0,Medium,Remote,16.08,2024-01
E1014,IT,Manager,PhD,2,173.9,95.3,,2,6.27,10.0,0,Low,Remote,5.49,2024-03
E1014,HR,Associate,PhD,3,174.2,92.0,,6,9.01,3.95,0,Low,Onsite,12.78,2024-03
E1014,IT,Developer,Masters,10,149.1,98.5,8.4,8,6.71,8.32,1,High,Hybrid,17.74,2024-04
E1014,Marketing,Associate,Masters,2,164.1,88.4,,3,5.96,7.02,0,Low,Onsite,15.42,2024-05
E1014,Finance,Executive,Masters,8,169.0,98.7,7.1,5,6.78,10.0,0,Low,Remote,26.67,2024-06
E1014,HR,Associate,Bachelors,6,173.7,90.8,,3,6.62,5.81,1,Medium,Onsite,7.4,2024-07
E1014,HR,Associate,Masters,4,166.7,97.3,1.5,10,6.48,5.8,0,High,Onsite,15.07,2024-08
E1014,Sales,Manager,Bachelors,10,142.5,95.7,4.4,7,,6.9,0,High,Remote,16.68,2024-09
E1014,Sales,Developer,Masters,7,168.2,94.6,7.2,9,8.89,8.27,0,Medium,Onsite,15.34,2024-10
E1014,HR,Analyst,Masters,3,172.9,78.1,6.6,2,7.17,7.97,1,Low,Onsite,17.53,2024-11
E1015,Sales,Developer,Bachelors,7,167.7,90.0,5.4,6,9.48,2.69,0,High,Hybrid,18.4,2024-01
E1015,HR,Executive,Bachelors,10,165.8,100.0,,8,9.02,6.22,0,High,Remote,12.48,2024-01
E1015,HR,Executive,Bachelors,5,149.7,88.2,2.0,5,9.17,4.77,0,High,Remote,18.54,2024-03
E1015,Marketing,Associate,PhD,7,161.6,97.5,7.2,4,9.67,5.99,2,Low,Hybrid,5.63,2024-03
E1015,Sales,Developer,Masters,10,164.0,94.8,5.2,6,6.09,7.78,1,Medium,Hybrid,26.05,2024-04
E1015,Sales,Analyst,PhD,2,169.5,88.6,5.2,3,8.09,7.39,0,High,Onsite,8.33,2024-05
E1015,Marketing,Manager,Bachelors,2,171.9,100.0,,5,8.89,6.57,0,High,Onsite,14.99,2024-06
E1015,Finance,Manager,Bachelors,2,155.0,94.3,2.2,9,9.81,5.33,1,Low,Onsite,19.68,2024-07
E1015,Marketing,Manager,Bachelors,5,158.7,99.1,4.1,3,5.09,4.42,1,Low,Remote,16.05,2024-08
E1015,Sales,Associate,Masters,8,170.6,97.6,4.9,1,7.14,6.51,0,Medium,Onsite,16.38,2024-09
E1015,IT,Analyst,PhD,10,176.0,100.0,2.0,7,5.8,6.21,0,Medium,Hybrid,21.26,2024-10
E1015,Sales,Manager,PhD,9,168.5,93.1,7.0,9,7.14,7.79,0,Low,Remote,7.93,2024-11
E1016,Marketing,Executive,Masters,6,169.8,90.0,4.9,10,7.27,6.79,0,Low,Hybrid,17.8,2024-01
E1016,IT,Executive,Masters,9,146.5,88.4,6.0,8,8.32,9.13,0,Low,Onsite,3.4,2024-01
E1016,HR,Executive,Masters,6,174.5,95.5,4.4,3,8.7,2.36,1,High,Hybrid,7.22,2024-03
E1016,Marketing,Analyst,Masters,4,155.8,93.5,7.0,3,8.88,5.58,0,Low,Remote,6.72,2024-03
E1016,Finance,Developer,Masters,4,157.5,93.3,3.2,9,6.74,9.98,0,High,Hybrid,11.57,2024-04
E1016,Sales,Developer,Bachelors,2,170.2,93.8,6.1,4,10.0,5.01,0,High,Onsite,16.4,2024-05
E1016,Sales,Analyst,PhD,1,170.9,98.6,7.1,11,7.98,6.22,0,Medium,Onsite,11.58,2024-06
E1016,HR,Executive,PhD,3,156.4,100.0,4.3,3,7.48,4.32,1,High,Hybrid,12.52,2024-07
E1016,HR,Analyst,PhD,4,153.9,96.1,,6,6.76,6.63,0,Low,Onsite,10.67,2024-08
E1016,Sales,Associate,PhD,4,158.7,93.0,4.6,5,8.48,7.21,0,Medium,Remote,10.42,2024-09
E1016,IT,Associate,Masters,10,167.0,98.9,5.2,5,9.62,7.59,1,High,Remote,16.81,2024-10
E1016,HR,Developer,Masters,7,147.4,100.0,6.1,7,8.12,9.07,1,Medium,Remote,16.36,2024-11
E1017,Finance,Manager,Bachelors,10,146.3,95.2,5.4,9,6.78,5.37,1,Medium,Remote,11.13,2024-01
E1017,Sales,Analyst,PhD,4,166.1,97.6,5.7,6,7.46,8.87,1,Medium,Hybrid,13.16,2024-01
E1017,HR,Developer,Bachelors,8,163.7,97.4,2.3,12,7.02,10.0,0,Medium,Remote,9.43,2024-03
E1017,Finance,Manager,Masters,1,157.0,100.0,,2,9.17,6.74,0,High,Onsite,16.43,2024-03
E1017,Marketing,Developer,Masters,3,161.4,95.1,4.3,8,9.85,9.24,1,Low,Onsite,17.3,2024-04
E1017,Marketing,Analyst,PhD,9,166.5,95.0,4.1,5,9.09,10.0,1,Medium,Hybrid,16.0,2024-05
E1017,Sales,Manager,Bachelors,1,165.6,90.6,9.0,3,6.7,10.0,1,Medium,Hybrid,17.38,2024-06
E1017,IT,Analyst,Masters,6,165.9,96.3,5.9,6,7.7,10.0,0,High,Remote,18.16,2024-07
E1017,HR,Manager,PhD,10,162.0,91.2,2.7,7,8.43,7.51,2,High,Onsite,17.79,2024-08
E1017,IT,Analyst,PhD,8,156.5,90.7,1.0,8,5.62,9.46,2,Low,Hybrid,0.74,2024-09
E1017,Sales,Manager,Bachelors,9,159.4,97.4,,4,6.53,9.74,0,Low,Remote,8.41,2024-10
E1017,HR,Executive,Masters,5,168.5,100.0,4.8,3,5.67,7.23,0,High,Remote,12.77,2024-11
E1018,Marketing,Analyst,Masters,10,148.1,83.4,6.1,10,9.96,6.9,0,Medium,Remote,22.5,2024-01
E1018,IT,Developer,PhD,3,152.0,96.7,4.4,14,7.86,7.47,0,Low,Remote,14.26,2024-01
E1018,IT,Associate,PhD,6,154.5,99.2,2.8,7,7.83,4.8,0,High,Onsite,17.2,2024-03
E1018,HR,Analyst,Masters,10,185.3,98.1,6.3,4,9.55,4.24,0,Medium,Hybrid,15.06,2024-03
E1018,Finance,Manager,Masters,8,150.6,91.7,5.6,8,7.22,9.34,0,High,Remote,12.38,2024-04
E1018,Marketing,Associate,PhD,5,147.8,98.3,4.2,9,10.0,6.14,1,Medium,Onsite,4.49,2024-05
E1018,Sales,Associate,Masters,9,144.8,98.8,4.2,7,5.8,6.65,0,Medium,Remote,17.35,2024-06
E1018,Marketing,Associate,Masters,5,155.7,100.0,4.5,4,6.8,9.42,1,Medium,Remote,22.45,2024-07
E1018,IT,Executive,PhD,8,168.7,92.7,3.2,3,8.93,8.75,2,Medium,Onsite,20.61,2024-08
E1018,Sales,Manager,Masters,10,152.9,92.8,6.7,7,,8.6,0,High,Remote,9.23,2024-09
E1018,Sales,Developer,PhD,7,159.4,97.4,1.7,9,7.51,8.27,0,High,Onsite,8.84,2024-10
E1018,Sales,Manager,Bachelors,2,156.2,99.8,3.4,8,9.02,4.94,1,High,Hybrid,13.92,2024-11
E1019,Finance,Manager,Masters,10,167.8,86.9,2.6,10,7.14,3.69,0,Low,Hybrid,8.27,2024-01
E1019,Sales,Manager,PhD,7,168.1,91.4,3.5,11,7.13,6.08,1,Low,Remote,6.4,2024-01
E1019,IT,Manager,Masters,7,159.3,97.3,4.1,4,7.28,7.97,0,Medium,Remote,5.84,2024-03
E1019,Marketing,Developer,PhD,5,157.5,95.7,5.3,3,7.78,6.12,1,Low,Remote,18.24,2024-03
E1019,Marketing,Developer,Masters,3,154.4,88.5,6.0,7,8.19,6.95,0,High,Hybrid,10.7,2024-04
